,season,week,season_type,neutral_site,conference_game,attendance,home_team,home_conference,home_division,home_points,away_team,away_conference,away_division,away_points
0,2022,1,regular,False,False,-1,Western Kentucky,Conference USA,fbs,38,Austin Peay,Atlantic Sun,fcs,27
0,2022,1,regular,True,True,-1,Northwestern,Big Ten,fbs,31,Nebraska,Big Ten,fbs,28
0,2022,1,regular,True,False,-1,Florida Memorial University,,,39,Edward Waters,SIAC,ii,34
0,2022,1,regular,True,False,-1,Jacksonville State,Atlantic Sun,fcs,42,Stephen F. Austin,Western Athletic,fcs,17
0,2022,1,regular,False,False,-1,UNLV,Mountain West,fbs,52,Idaho State,Big Sky,fcs,21
0,2022,1,regular,False,False,-1,Illinois,Big Ten,fbs,38,Wyoming,Mountain West,fbs,6
0,2022,1,regular,False,False,-1,Utah State,Mountain West,fbs,31,Connecticut,FBS Independents,fbs,20
0,2022,1,regular,False,False,-1,Florida State,ACC,fbs,47,Duquesne,NEC,fcs,7
0,2022,1,regular,True,False,-1,Alabama State,SWAC,fcs,23,Howard,MEAC,fcs,13
0,2022,1,regular,False,False,-1,Mercer,Southern,fcs,63,Morehead State,Pioneer,fcs,13
0,2022,1,regular,False,True,-1,Florida Atlantic,Conference USA,fbs,43,Charlotte,Conference USA,fbs,13
0,2022,1,regular,False,False,-1,North Carolina,ACC,fbs,56,Florida A&M,SWAC,fcs,24
0,2022,1,regular,False,True,-1,UTEP,Conference USA,fbs,13,North Texas,Conference USA,fbs,31
0,2022,1,regular,False,False,-1,New Mexico State,FBS Independents,fbs,12,Nevada,Mountain West,fbs,23
0,2022,1,regular,False,False,-1,Hawai'i,Mountain West,fbs,10,Vanderbilt,SEC,fbs,63
0,2022,1,regular,False,False,-1,New Mexico Highlands,Rocky Mountain,ii,18,Eastern New Mexico,Lone Star,ii,34
0,2022,1,regular,False,False,-1,Southern Connecticut State,Northeast 10,ii,7,Shepherd,Pennsylvania State Athletic,ii,48
0,2022,1,regular,False,False,-1,Bluefield,Independent DII,ii,35,Johnson C Smith,CIAA,ii,34
0,2022,1,regular,False,False,-1,Akron,Mid-American,fbs,30,St Francis (PA),NEC,fcs,23
0,2022,1,regular,False,False,-1,Clarion,Pennsylvania State Athletic,ii,14,West Liberty,Mountain East,ii,21
0,2022,1,regular,False,False,-1,Chowan,CIAA,ii,3,Barton College,South Atlantic,ii,17
0,2022,1,regular,False,False,-1,Saginaw Valley,GLIAC,ii,72,WV Wesleyan,Mountain East,ii,0
0,2022,1,regular,False,False,-1,Ashland,Great Midwest Athletic,ii,31,Notre Dame College,Mountain East,ii,14
0,2022,1,regular,False,False,-1,Michigan Tech,GLIAC,ii,23,Wisconsin-Platteville,Wisconsin,iii,13
0,2022,1,regular,False,False,-1,Tusculum,South Atlantic,ii,70,St. Augustine's,CIAA,ii,13
0,2022,1,regular,False,False,-1,Indiana State,MVFC,fcs,17,North Alabama,Atlantic Sun,fcs,14
0,2022,1,regular,False,False,-1,Wagner,NEC,fcs,31,Fordham,Patriot,fcs,48
0,2022,1,regular,False,False,-1,Campbell,Big South,fcs,29,The Citadel,Southern,fcs,10
0,2022,1,regular,False,False,-1,California (PA),Pennsylvania State Athletic,ii,35,Fairmont State,Mountain East,ii,15
0,2022,1,regular,False,False,-1,Quincy,Great Lakes,ii,15,Glenville State,Mountain East,ii,44
0,2022,1,regular,False,False,-1,Missouri S&T,Great Lakes,ii,20,South Dakota Mines,Rocky Mountain,ii,43
0,2022,1,regular,False,False,-1,Northern Michigan,GLIAC,ii,24,McKendree,Great Lakes,ii,31
0,2022,1,regular,False,True,-1,Southern Nazarene,Great American,ii,26,Arkansas-Monticello,Great American,ii,40
0,2022,1,regular,False,True,-1,Southern Arkansas,Great American,ii,62,Northwestern Oklahoma State,Great American,ii,31
0,2022,1,regular,False,True,-1,Southeastern Oklahoma,Great American,ii,41,Arkansas Tech,Great American,ii,34
0,2022,1,regular,False,True,-1,Oklahoma Baptist,Great American,ii,32,Ouachita Baptist,Great American,ii,42
0,2022,1,regular,False,True,-1,East Central,Great American,ii,12,Harding,Great American,ii,29
0,2022,1,regular,False,True,-1,Washburn,Mid America,ii,45,Lincoln (MO),Mid America,ii,3
0,2022,1,regular,False,False,-1,Frostburg State,Mountain East,ii,21,American International,Northeast 10,ii,7
0,2022,1,regular,False,False,-1,Valdosta State,Gulf South,ii,36,Keiser University,,,21
0,2022,1,regular,False,False,-1,UCF,American Athletic,fbs,56,South Carolina State,MEAC,fcs,10
0,2022,1,regular,False,False,-1,St. Anselm,Northeast 10,ii,28,Millersville,Pennsylvania State Athletic,ii,10
0,2022,1,regular,False,False,-1,Wheeling Jesuit,Mountain East,ii,25,Seton Hill College,Pennsylvania State Athletic,ii,11
0,2022,1,regular,False,False,-1,Grand Valley State,GLIAC,ii,25,Colorado Mines,Rocky Mountain,ii,22
0,2022,1,regular,False,False,-1,UVA-Wise,South Atlantic,ii,41,Ferrum,Old Dominion,iii,9
0,2022,1,regular,False,True,-1,New Hampshire,CAA,fcs,31,Monmouth,CAA,fcs,21
0,2022,1,regular,False,True,-1,Bemidji State,Northern Sun,ii,34,Minnesota State,Northern Sun,ii,37
0,2022,1,regular,False,True,-1,Minnesota-Duluth,Northern Sun,ii,31,Southwest Minnesota State,Northern Sun,ii,21
0,2022,1,regular,False,False,-1,Tennessee,SEC,fbs,59,Ball State,Mid-American,fbs,10
0,2022,1,regular,False,False,-1,Gannon,Pennsylvania State Athletic,ii,47,Charleston (WV),Mountain East,ii,13
0,2022,1,regular,False,False,-1,Oklahoma State,Big 12,fbs,58,Central Michigan,Mid-American,fbs,44
0,2022,1,regular,False,True,-1,Northern State,Northern Sun,ii,30,Upper Iowa,Northern Sun,ii,0
0,2022,1,regular,False,False,-1,Pittsburgh,ACC,fbs,38,West Virginia,Big 12,fbs,31
0,2022,1,regular,False,False,-1,Pace,Northeast 10,ii,31,East Stroudsburg,Pennsylvania State Athletic,ii,16
0,2022,1,regular,False,False,-1,Toledo,Mid-American,fbs,37,Long Island University,NEC,fcs,0
0,2022,1,regular,False,False,-1,Furman,Southern,fcs,52,North Greenville,Gulf South,ii,0
0,2022,1,regular,False,False,-1,Gardner-Webb,Big South,fcs,56,Limestone,South Atlantic,ii,21
0,2022,1,regular,False,False,-1,Florida International,Conference USA,fbs,38,Bryant,Big South,fcs,37
0,2022,1,regular,False,True,-1,Minnesota St-Moorhead,Northern Sun,ii,14,Sioux Falls,Northern Sun,ii,27
0,2022,1,regular,False,False,-1,Virginia Union,CIAA,ii,77,Virginia Lynchburg,,,0
0,2022,1,regular,False,False,-1,Trine,Michigan,iii,38,Anderson (IN),Heartland,iii,0
0,2022,1,regular,False,False,-1,Millsaps,Southern Athletic,iii,21,Belhaven College,USA South,iii,49
0,2022,1,regular,False,True,-1,Stony Brook,CAA,fcs,14,Rhode Island,CAA,fcs,35
0,2022,1,regular,False,False,-1,Lakeland University,NACC,iii,20,Illinois College,Midwest,iii,38
0,2022,1,regular,False,False,-1,Samford,Southern,fcs,27,Kennesaw State,Atlantic Sun,fcs,17
0,2022,1,regular,False,False,-1,East Tennessee State,Southern,fcs,44,Mars Hill,South Atlantic,ii,7
0,2022,1,regular,False,False,-1,Wake Forest,ACC,fbs,44,VMI,Southern,fcs,10
0,2022,1,regular,False,True,-1,Concordia-St. Paul,Northern Sun,ii,14,Augustana (SD),Northern Sun,ii,28
0,2022,1,regular,False,False,-1,Ferris State,GLIAC,ii,36,Central Washington,Lone Star,ii,20
0,2022,1,regular,False,False,-1,UT Martin,OVC,fcs,42,Western Illinois,MVFC,fcs,25
0,2022,1,regular,False,True,-1,Pittsburg State,Mid America,ii,21,Central Missouri State,Mid America,ii,10
0,2022,1,regular,False,False,-1,UAB,Conference USA,fbs,59,Alabama A&M,SWAC,fcs,0
0,2022,1,regular,False,False,-1,Missouri,SEC,fbs,52,Louisiana Tech,Conference USA,fbs,24
0,2022,1,regular,False,False,-1,Texas A&M-Commerce,Southland,fcs,52,Lincoln University (CA),,,7
0,2022,1,regular,False,False,-1,William Jewell College,Great Lakes,ii,14,Colorado Mesa,Rocky Mountain,ii,37
0,2022,1,regular,False,True,-1,Emporia State,Mid America,ii,42,Northeastern State,Mid America,ii,17
0,2022,1,regular,False,True,-1,Missouri Western,Mid America,ii,35,Central Oklahoma,Mid America,ii,0
0,2022,1,regular,False,True,-1,Missouri Southern State,Mid America,ii,7,Nebraska-Kearney,Mid America,ii,24
