,team,opp,target,spread,team_label,opp_label,home_win_pct_week_minus_one,away_win_pct_week_minus_one,win_pct_week_minus_one,spread_week_minus_one,team_conf_label_week_minus_one,team_conf_week_minus_one,opp_conf_week_minus_one,away_conf_label_week_minus_one,opp_home_win_pct_week_minus_one,opp_away_win_pct_week_minus_one,opp_home_win_pct_one,home_wins_week_minus_one,away_wins_week_minus_one,points_against_week_minus_one,points_for_week_minus_one,total_wins_week_minus_one,total_week_minus_one,home_points_week_minus_one,away_points_week_minus_one,home_win_week_minus_one,away_win_week_minus_one,home_win_pct_week_minus_two,away_win_pct_week_minus_two,win_pct_week_minus_two,spread_week_minus_two,team_conf_label_week_minus_two,team_conf_week_minus_two,opp_conf_week_minus_two,away_conf_label_week_minus_two,opp_home_win_pct_week_minus_two,opp_away_win_pct_week_minus_two,opp_home_win_pct_two,home_wins_week_minus_two,away_wins_week_minus_two,points_against_week_minus_two,points_for_week_minus_two,total_wins_week_minus_two,total_week_minus_two,home_points_week_minus_two,away_points_week_minus_two,home_win_week_minus_two,away_win_week_minus_two,home_win_pct_week_minus_three,away_win_pct_week_minus_three,win_pct_week_minus_three,spread_week_minus_three,team_conf_label_week_minus_three,team_conf_week_minus_three,opp_conf_week_minus_three,away_conf_label_week_minus_three,opp_home_win_pct_week_minus_three,opp_away_win_pct_week_minus_three,opp_home_win_pct_three,home_win_pct_week_minus_four,away_win_pct_week_minus_four,win_pct_week_minus_four,spread_week_minus_four,team_conf_label_week_minus_four,team_conf_week_minus_four,opp_conf_week_minus_four,away_conf_label_week_minus_four,opp_home_win_pct_week_minus_four,opp_away_win_pct_week_minus_four,opp_home_win_pct_four,home_wins_week_minus_four,away_wins_week_minus_four,points_against_week_minus_four,points_for_week_minus_four,total_wins_week_minus_four,total_week_minus_four,home_points_week_minus_four,away_points_week_minus_four,home_win_week_minus_four,away_win_week_minus_four,home_win_pct_week_minus_five,away_win_pct_week_minus_five,win_pct_week_minus_five,spread_week_minus_five,team_conf_label_week_minus_five,team_conf_week_minus_five,opp_conf_week_minus_five,away_conf_label_week_minus_five,home_wins_week_minus_five,away_wins_week_minus_five,points_against_week_minus_five,points_for_week_minus_five,total_wins_week_minus_five,total_week_minus_five,home_points_week_minus_five,away_points_week_minus_five,home_win_week_minus_five,away_win_week_minus_five,opp_home_win_pct_week_minus_five,opp_away_win_pct_week_minus_five,opp_home_win_pct_five
0,Akron,Miami (OH),0,-18.0,19,466,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.16666666666666666,-7.0,13,Mid-American,Mid-American,13,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0,245.0,110.0,1,6.0,21.0,28.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,1.0,0.0,0.25,-3.0,13,Mid-American,Mid-American,13,0.0,0.3333333333333333,0.25,1,0.0,159.0,48.0,1,4.0,28.0,31.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333,0.0,0.0
1,Alabama State,Alabama A&M,1,7.0,9,589,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.5,0.5,15.0,7,SWAC,SWAC,7,0.6666666666666666,0.0,0.3333333333333333,2,1.0,135.0,94.0,3,6.0,24.0,9.0,1,0,0.6666666666666666,0.5,0.6,-14.0,7,SWAC,SWAC,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.6666666666666666,-10.0,7,SWAC,SWAC,7,2,0.0,71.0,51.0,2,3.0,15.0,25.0,0,1,1.0,0.0,0.3333333333333333
2,Albany,Stony Brook,1,45.0,477,33,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.2,-1.0,23,CAA,CAA,23,1.0,0.75,0.8333333333333334,1,0.0,209.0,154.0,1,5.0,37.0,38.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.5,0.6666666666666666,0.6,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,19.0,23,CAA,NEC,17,0,0.0,145.0,78.0,0,3.0,45.0,26.0,1,0,1.0,0.5,0.6666666666666666
3,Albany State (GA),Morehouse,1,24.0,278,248,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.75,0.8333333333333334,-4.0,60,SIAC,SIAC,60,0.6666666666666666,1.0,0.8333333333333334,2,3.0,67.0,193.0,5,6.0,20.0,24.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,1.0,0.6666666666666666,0.75,17.0,60,SIAC,SIAC,60,0.0,0.0,0.0,1,2.0,57.0,118.0,3,4.0,20.0,3.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
4,Albion,Adrian,1,28.0,144,364,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,20.0,25,Michigan,Michigan,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
5,Alfred,SUNY Cortland,0,-23.0,341,122,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.3333333333333333,0.4,-14.0,50,Empire 8,Empire 8,50,0.0,0.0,0.0,1,1.0,160.0,98.0,2,5.0,7.0,21.0,0,1,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.75,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8.0,50,Empire 8,Michigan,25,0,0.0,131.0,46.0,0,3.0,31.0,23.0,1,0,0.0,0.0,0.0
6,Allegheny,Case Western Reserve,0,-47.0,118,139,0.3333333333333333,0.25,0.2857142857142857,-17.0,49,Presidents',Presidents',49,0.0,0.0,0.0,1,1.0,250.0,158.0,2,7.0,35.0,52.0,0,1,0.5,0.25,0.3333333333333333,-27.0,49,Presidents',Presidents',49,0.0,0.0,0.0,1,1.0,206.0,141.0,2,6.0,17.0,44.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.3333333333333333,16.0,49,Presidents',Presidents',49,0,1.0,90.0,75.0,1,3.0,31.0,15.0,1,0,0.0,0.0,0.0
7,Alvernia University,King's College (PA),0,-27.0,98,562,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.25,-21.0,43,Mid Atlantic,Mid Atlantic,43,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,-26.0,43,Mid Atlantic,Mid Atlantic,43,0.0,1.0,0.6666666666666666,0,1.0,134.0,83.0,1,3.0,6.0,32.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,1.0,0.6666666666666666
8,American International,Southern Connecticut State,0,-1.0,623,17,0.0,0.0,0.0,-17.0,11,Northeast 10,Northeast 10,11,0.0,0.0,0.0,0,0.0,228.0,80.0,0,6.0,7.0,24.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-42.0,11,Northeast 10,GLIAC,14,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0
9,Amherst College,Wesleyan,0,-6.0,582,564,0.0,0.0,0.0,0.0,0,,,0,0.5,0.0,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-4.0,71,NESCAC,NESCAC,71,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,71,NESCAC,NESCAC,71,1.0,0.0,0.5,0,0.0,41.0,16.0,0,2.0,3.0,20.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
