,team,team_label
0,Western Kentucky,1
1,Northwestern,2
2,Florida Memorial University,3
3,Jacksonville State,4
4,UNLV,5
5,Illinois,6
6,Utah State,7
7,Florida State,8
8,Alabama State,9
9,Mercer,10
10,Florida Atlantic,11
11,North Carolina,12
12,UTEP,13
13,New Mexico State,14
14,Hawai'i,15
15,New Mexico Highlands,16
16,Southern Connecticut State,17
17,Clarion,18
18,Akron,19
19,Saginaw Valley,20
20,Indiana State,21
21,Chowan,22
22,Michigan Tech,23
23,Wagner,24
24,Ashland,25
25,Bluefield,26
26,Tusculum,27
27,Campbell,28
28,California (PA),29
29,Florida International,30
30,UVA-Wise,31
31,Minnesota St-Moorhead,32
32,Stony Brook,33
33,Samford,34
34,Furman,35
35,Gardner-Webb,36
36,Frostburg State,37
37,Toledo,38
38,Virginia Union,39
39,Trine,40
40,Millsaps,41
41,Lakeland University,42
42,Tennessee,43
43,Oklahoma State,44
44,UCF,45
45,Gannon,46
46,Minnesota-Duluth,47
47,Bemidji State,48
48,Pace,49
49,Northern State,50
50,Pittsburgh,51
51,Southern Arkansas,52
52,East Central,53
53,Oklahoma Baptist,54
54,Quincy,55
55,Valdosta State,56
56,Missouri S&T,57
57,Northern Michigan,58
58,Southern Nazarene,59
59,Southeastern Oklahoma,60
60,New Hampshire,61
61,St. Anselm,62
62,Wheeling Jesuit,63
63,Washburn,64
64,Grand Valley State,65
65,Concordia-St. Paul,66
66,Wake Forest,67
67,Ferris State,68
68,UT Martin,69
69,East Tennessee State,70
70,Texas A&M-Commerce,71
71,Missouri Southern State,72
72,Northern Illinois,73
73,Pittsburg State,74
74,William Jewell College,75
75,Henderson State,76
76,Missouri,77
77,Missouri Western,78
78,Southern Utah,79
79,Central Arkansas,80
80,Emporia State,81
81,Northwest Missouri State,82
82,Angelo State,83
83,Purdue,84
84,UAB,85
85,Tarleton State,86
86,Weber State,87
87,Dickinson State,88
88,Abilene Christian,89
89,Minnesota,90
90,Arizona State,91
91,San José State,92
92,Fresno State,93
93,West Chester,94
94,Salisbury,95
95,Villanova,96
96,Curry,97
97,Alvernia University,98
98,Charlotte,99
99,Old Dominion,100
100,Eastern Michigan,101
101,Michigan State,102
102,Worcester State College,103
103,Hobart,104
104,Fitchburg State,105
105,Merchant Marine,106
106,Franklin & Marshall,107
107,Westfield State,108
108,Carnegie Mellon,109
109,Springfield,110
110,Merrimack,111
111,Duke,112
112,Indiana,113
113,Kansas,114
114,Colorado,115
115,Salve Regina,116
116,Michigan,117
117,Allegheny,118
118,Appalachian State,119
119,Delaware Valley,120
120,Assumption,121
121,SUNY Cortland,122
122,College of New Jersey,123
123,Marist,124
124,Iowa,125
125,Brockport State (NY),126
126,Connecticut,127
127,Ohio Wesleyan,128
128,Bridgewater State,129
129,Charleston Southern,130
130,Texas A&M,131
131,East Carolina,132
132,Navy,133
133,Robert Morris,134
134,Southwestern University,135
135,Ohio Dominican,136
136,UMass Dartmouth,137
137,Marietta,138
138,Case Western Reserve,139
139,Wayland Baptist,140
140,Maryland,141
141,Morrisville State,142
142,Plymouth State,143
143,Albion,144
144,Boston College,145
145,Greensboro,146
146,Lafayette,147
147,Virginia,148
148,Kalamazoo,149
149,Brevard College,150
150,William Paterson,151
151,St Lawrence,152
152,Alfred State College,153
153,McDaniel College,154
154,Augustana (IL),155
155,Gettysburg,156
156,St. John Fisher,157
157,Rensselaer,158
158,Ohio Northern,159
159,Ripon,160
160,Rockford,161
161,Lycoming,162
162,Air Force,163
163,WV State,164
164,Kentucky State,165
165,Butler,166
166,Wabash College,167
167,Grove City College,168
168,Kenyon,169
169,Bowie State,170
170,Post University,171
171,Erskine,172
172,Hope,173
173,Washington & Jefferson,174
174,Coe,175
175,Widener,176
176,Montclair State,177
177,Hartwick,178
178,Sewanee Univ. of the South,179
179,St. Vincent,180
180,Franklin Pierce,181
181,DePauw,182
182,Keystone,183
183,Luther,184
184,Bethany (WV),185
185,Methodist,186
186,Gallaudet,187
187,Truman State,188
188,Northwood (MI),189
189,Emory & Henry,190
190,Mount St. Joseph,191
191,Coast Guard,192
192,Mount Union,193
193,Olivet College,194
194,Maryville TN,195
195,Texas Lutheran,196
196,Millikin,197
197,Eureka College,198
198,Elmhurst,199
199,Minot State,200
200,Concordia (IL),201
201,Lake Forest,202
202,Hendrix College,203
203,Iowa State,204
204,Wisconsin-Eau Claire,205
205,Martin Luther College,206
206,Central,207
207,UW-Oshkosh,208
208,Walsh,209
209,St. Johns (MN),210
210,Bloomsburg,211
211,Youngstown State,212
212,Bethel (MN),213
213,McMurry,214
214,Knox College,215
215,Delaware State,216
216,UCLA,217
217,Willamette,218
218,Lake Erie College,219
219,Montana,220
220,Nebraska,221
221,UT San Antonio,222
222,Oklahoma,223
223,North Dakota State,224
224,Miami,225
225,Marshall,226
226,Georgia,227
227,San Diego State,228
228,Wyoming,229
229,Arkansas,230
230,Ole Miss,231
231,Shaw,232
232,Eastern Washington,233
233,Edward Waters,234
234,Lewis & Clark,235
235,Northern Colorado,236
236,South Florida,237
237,California,238
238,South Alabama,239
239,Wisconsin-La Crosse,240
240,Nevada,241
241,Benedict College,242
242,Chattanooga,243
243,Bucknell,244
244,Livingstone,245
245,Washington & Lee,246
246,Lenoir-Rhyne,247
247,Morehouse,248
248,Finlandia University,249
249,Hampton,250
250,Stetson,251
251,Georgia Southern,252
252,Ohio,253
253,James Madison,254
254,USC,255
255,Buena Vista,256
256,Slippery Rock,257
257,West Georgia,258
258,Alderson-Broaddus,259
259,Newberry,260
260,Indianapolis,261
261,Randolph-Macon,262
262,University of Mary,263
263,Midwestern State,264
264,Heidelberg,265
265,Wisconsin,266
266,Arkansas-Pine Bluff,267
267,Arkansas State,268
268,Prairie View,269
269,Wisconsin-Stevens Point,270
270,Vanderbilt,271
271,Louisiana,272
272,University of Texas of the Permian Basin,273
273,Kansas State,274
274,Coastal Carolina,275
275,Mary Hardin-Baylor,276
276,Valparaiso,277
277,Albany State (GA),278
278,West Florida,279
279,Fayetteville State,280
280,Huntingdon,281
281,Southern Mississippi,282
282,Kentucky,283
283,Baylor,284
284,Florida,285
285,Tulane,286
286,Auburn,287
287,Southern,288
288,Incarnate Word,289
289,Alcorn State,290
290,Austin Peay,291
291,Southern Virginia,292
292,Denison,293
293,Trinity (TX),294
294,North Park,295
295,Minnesota-Morris,296
296,Utica,297
297,Geneva College,298
298,North Carolina Central,299
299,North Texas,300
300,Mississippi State,301
301,Alabama,302
302,South Carolina,303
303,Ohio State,304
304,Texas A&M-Kingsville,305
305,Western State,306
306,Western New Mexico,307
307,New Mexico,308
308,Monmouth (IL),309
309,Texas,310
310,Syracuse,311
311,Texas Tech,312
312,Stanford,313
313,Montana State,314
314,Northwestern (MN),315
315,Crown College,316
316,San Diego,317
317,Washington State,318
318,George Fox University,319
319,Chapman,320
320,Oregon State,321
321,Washington,322
322,Sacramento State,323
323,Hanover,324
324,Jackson State,325
325,Central State,326
326,Tuskegee,327
327,Georgia Tech,328
328,West Liberty,329
329,Fairmont State,330
330,Central Oklahoma,331
331,Missouri State,332
332,Central Missouri State,333
333,Nebraska-Kearney,334
334,Fort Hays State,335
335,Nichols,336
336,SUNY Maritime,337
337,Worcester Polytechnic,338
338,FDU-Florham,339
339,Framingham State,340
340,Alfred,341
341,Millersville,342
342,UNC Pembroke,343
343,Shepherd,344
344,Penn State,345
345,Hilbert College,346
346,Anna Maria College,347
347,Georgia State,348
348,Notre Dame College,349
349,Kutztown,350
350,Army,351
351,Duquesne,352
352,Norwich,353
353,Husson,354
354,Hiram,355
355,Otterbein,356
356,Oberlin,357
357,Shorter,358
358,NC State,359
359,Presbyterian College,360
360,Moravian,361
361,UW-Whitewater,362
362,Ithaca,363
363,Adrian,364
364,Lebanon Valley,365
365,Union,366
366,Catholic University,367
367,Westminster PA,368
368,St. Augustine's,369
369,Shippensburg,370
370,Mississippi College,371
371,New Haven,372
372,Carson-Newman,373
373,Tiffin,374
374,Long Island University,375
375,Monmouth,376
376,Stonehill,377
377,Concord,378
378,Western New England,379
379,Stevenson,380
380,Fort Valley State,381
381,Maine,382
382,Central Michigan,383
383,Thiel College,384
384,Waynesburg,385
385,Ferrum,386
386,Misericordia,387
387,Juniata,388
388,Muhlenberg,389
389,Hampden-Sydney,390
390,University of New England,391
391,Ursinus,392
392,MIT,393
393,Susquehanna,394
394,Black Hills State,395
395,Wilmington (OH),396
396,VMI,397
397,Utah,398
398,Grinnell,399
399,Temple,400
400,Concordia (WI),401
401,McKendree,402
402,Castleton State College,403
403,St. Norbert,404
404,Hamline,405
405,Aurora,406
406,Washington (MO),407
407,Augustana (SD),408
408,South Dakota Mines,409
409,St. Thomas (MN),410
410,Drake,411
411,Bridgewater (VA),412
412,Westminster,413
413,Illinois Wesleyan,414
414,Colorado Mines,415
